EIN,TAXYR,NAME,F9_03_PZ_MISSION,DESCRIPTION,Orgpurposecharitable,Orgpurposereligious,Orgpurposeeducational,Orgpurposescientific,Orgpurposeliterary,Orgpurposepublicsafety,Orgpurposeamateursports,Orgpurposecrueltyprevention,NTE,Vulnerable
113731446,2015,COMMUNITY BOXING CENTER INC,YOUTH DEVELOPMENT PROGRAMS,YOUTH DEVELOPMENT PROGRAMS,0,0,0,0,0,0,1,0,9,0
200530212,2011,AESCULAPIUS FOUNDATION,TO EDUCATE HEALTH CARE PROFESSIONALS ON THE DEVELOPMENTS CONCERNING ADVANCES IN HEALTH CARE.,VARIOUS EDUCATIONAL SEMINARS ON THE DEVELOPMENTS AND ADVANCEMENTS IN HEALTHCARE,1,0,1,0,0,0,0,0,4,0
237401511,2013,GREATER FREMONT DEVELOPMENT COUNCIL,PROMOTION AND INDUCEMENT OF GENERAL COMMERCIAL ACTIVITY IN THE FREMONT AREA.,PROMOTION AND INDUCEMENT OF GENERAL COMMERCIAL ACTIVITY IN THE FREMONT AREA.,0,0,0,0,0,0,0,0,9,0
237416258,2017,WOMANS CLUB OF PARAMUS,"TO ENCOURAGE FRIENDSHIP WITHIN THE COMMUNITY, TO PROMOTE THE CIVIC AND SOCIAL WELFARE OF THE COMMUNITY, TO ASSIST YOUTH ORGANIZATIONS, TO HOLD EDUCATIONAL PROGRAMS, AND TO ELEVATE THE INTELLECTUAL AND SOCIAL PLANE OF MEMBERS IN THE INTEREST OF HIGHER STANDARDS OF CITIZENSHIP.","THE ORGANIZATION PROVIDES BUS TRIPS, COMEDIANS, INSTALLATION DINNERS TO RAISE MONEY WHICH THEN IS USED TO CONTRIBUTE TO THOSE IN NEED.",1,0,0,0,0,0,0,0,9,0
262157448,2017,NEW YORK ORATORY OF ST PHILIP NERI INC,"TO ASSIST PEOPLE IN THE GENERAL COMMUNITY IN TIMES OF NEED, WHETHER IT BE FOR EMOTIONAL, SPIRITUAL OR FINANCIAL REASONS IN A CHRISTIAN METHOD.","TO ASSIST PEOPLE IN THE GENERAL COMMUNITY IN TIMES OF NEED, WHETHER IT BE FOR EMOTIONAL, SPIRITUAL OR FINANCIAL REASONS IN A CHRISTIAN METHOD.",1,1,0,0,0,0,0,0,5,1
263297754,2012,DETOURS MENTORING GROUP INC,"The mission of the Detours Mentoring Group is dedicated to enhance the empowerment of at risk youth in our community to enable the youth to make positive life choices that will benefit and maximize their personal potential. Committed to being a pillar in the community, instill a progressive sense of life career planning and achievement. Our goal is to reach the youth between 12 thru 18 years by reaching out to them right where their need may be.",NONE,1,0,0,0,0,0,0,0,5,1
270259038,2017,LEGWORKS DANCE COMPETITION INC,TO ENHANCE DANCE AMONGST THE ADOLESCENT COMMUNITY,ART OF DANCE,0,0,0,0,0,0,1,0,1,0
270883695,2015,Victorian Rose Ladies Riding Society,To inspire and share history of the,RIDING IN PARADES,0,0,1,0,0,0,0,0,9,0
275167714,2017,Chinese Buddhist Cultural Assoc USA Inc,Corporation is to provide Chinese,WORKSHOPS & LECTURES,0,1,1,0,0,0,0,0,1,0
275273049,2016,TEAM FIRST,TEAM FIRST IS A NEW YORK CITY BASED NON-PROFIT EDUCATIONAL ORGANIZATION THAT OFFERS MENTORSHIP SERVICES THAT ARE TIED TO ATTRACTIVE AND COMPETITIVE ATHLETIC EVENTS IN WHICH ALL CHILDREN WITH A PASSION FOR SPORTS CAN PARTICIPATE.,MENTORSHIP SEMINARS,0,0,0,0,0,0,0,0,2,0
320043189,2016,UNITED STATES EQUESTRIAN GAMES,"TO INCREASE THE NUMBER OF RIDERS INVOLVED, ENHANCE THE IMAGE OF GAMES AS A SPECTATOR SPORT, AND CONTINUALLY IMPROVING THE QUALITY AND QUANTITY OF OUR COMPETITIONS, WHILE KEEPING SAFETY AND FAIRNESS A TOP PRIORITY.","WE HAVE INCREASED THE NUMBER OF RIDERS INVOLVED IN EQUESTRIAN GAMES, ENHANCED THE IMAGE OF THE GAMES AS A SPECTATOR SPORT, AND IMPROVED THE QUALITY OF THE COMPETITIONS WHILE KEEPING SAFETY AND FAIRNESS A TOP PRIORITY.",0,0,0,0,0,0,1,0,9,0
