"","feature","frequency","rank","docfreq","group"
"1","501_c",53,1,52,"all"
"2","c_3",53,2,52,"all"
"3","high_school",52,3,49,"all"
"4","mental_health",32,4,25,"all"
"5","united_states",30,5,28,"all"
"6","raise_funds",26,6,26,"all"
"7","young_people",24,7,21,"all"
"8","provide_financial",23,8,23,"all"
"9","jesus_christ",23,9,21,"all"
"10","local_community",22,10,21,"all"
"11","provide_support",22,11,22,"all"
"12","financial_support",22,12,22,"all"
"13","affordable_housing",21,13,18,"all"
"14","low_income",21,14,19,"all"
"15","organization's_mission",21,15,21,"all"
"16","financial_assistance",21,16,21,"all"
"17","educational_purposes",20,17,20,"all"
"18","organized_exclusively",20,18,20,"all"
"19","section_501",20,19,19,"all"
"20","non-profit_organization",20,20,20,"all"
"21","raise_awareness",19,21,19,"all"
"22","organization_dedicated",18,22,18,"all"
"23","provide_education",18,23,18,"all"
"24","new_york",17,24,14,"all"
"25","revenue_code",17,25,17,"all"
"26","educational_programs",17,26,17,"all"
"27","provide_assistance",17,27,17,"all"
"28","primary_purpose",17,28,17,"all"
"29","medical_care",16,29,16,"all"
"30","substance_abuse",15,30,14,"all"
"31","internal_revenue",15,31,15,"all"
"32","general_public",15,32,15,"all"
"33","community_outreach",15,33,15,"all"
"34","charitable_purposes",15,34,15,"all"
"35","community_development",14,35,13,"all"
"36","provide_opportunities",14,36,13,"all"
"37","young_adults",14,37,13,"all"
"38","special_needs",14,38,14,"all"
"39","raise_money",13,39,13,"all"
"40","economic_development",12,40,11,"all"
"41","community_service",12,41,12,"all"
"42","see_schedule",12,42,12,"all"
"43","schedule_o",12,43,12,"all"
"44","will_provide",12,44,11,"all"
"45","raising_funds",12,45,11,"all"
"46","organization_provides",12,46,12,"all"
"47","educational_opportunities",12,47,12,"all"
"48","local_communities",12,48,11,"all"
"49","good_sportsmanship",11,49,11,"all"
"50","high_quality",11,50,10,"all"
"51","nonprofit_organization",11,51,11,"all"
"52","health_care",11,52,10,"all"
"53","animal_rescue",11,53,11,"all"
"54","community_members",11,54,9,"all"
"55","school_students",11,55,11,"all"
"56","educational_services",11,56,10,"all"
"57","charitable_organization",10,57,10,"all"
"58","surrounding_areas",10,58,10,"all"
"59","organization_will",10,59,7,"all"
"60","provide_food",10,60,10,"all"
"61","life_skills",10,61,10,"all"
"62","organization_also",10,62,10,"all"
"63","foundation_inc",10,63,10,"all"
"64","public_awareness",10,64,10,"all"
"65","future_generations",10,65,10,"all"
"66","charitable_organizations",10,66,10,"all"
"67","providing_education",10,67,10,"all"
"68","mission_statement",10,68,10,"all"
"69","3_non-profit",10,69,10,"all"
"70","law_enforcement",9,70,8,"all"
"71","amateur_sports",9,71,9,"all"
"72","provide_scholarships",9,72,9,"all"
"73","provide_educational",9,73,9,"all"
"74","exempt_organizations",9,74,9,"all"
"75","provide_housing",9,75,9,"all"
"76","new_orleans",9,76,6,"all"
"77","provide_funding",9,77,9,"all"
"78","less_fortunate",9,78,9,"all"
"79","financial_literacy",9,79,9,"all"
"80","computer_technology",9,80,3,"all"
"81","puerto_rico",9,81,5,"all"
"82","specific_purpose",8,82,8,"all"
"83","support_services",8,83,8,"all"
"84","domestic_violence",8,84,6,"all"
"85","foster_care",8,85,8,"all"
"86","income_families",8,86,8,"all"
"87","humane_care",8,87,8,"all"
"88","human_rights",8,88,6,"all"
