"","feature","frequency","rank","docfreq","group"
"1","high_school",68,1,63,"all"
"2","united_states",31,2,30,"all"
"3","501_c",30,3,27,"all"
"4","c_3",30,4,27,"all"
"5","raise_funds",26,5,26,"all"
"6","financial_assistance",24,6,23,"all"
"7","young_people",22,7,19,"all"
"8","provide_financial",19,8,18,"all"
"9","low_income",18,9,18,"all"
"10","school_students",18,10,17,"all"
"11","mental_health",18,11,13,"all"
"12","community_service",18,12,16,"all"
"13","community_members",18,13,15,"all"
"14","public_art",18,14,2,"all"
"15","charitable_organizations",17,15,17,"all"
"16","financial_support",17,16,15,"all"
"17","life_skills",17,17,14,"all"
"18","general_public",16,18,14,"all"
"19","exempt_purpose",16,19,16,"all"
"20","local_community",16,20,16,"all"
"21","raise_awareness",16,21,15,"all"
"22","summer_camp",16,22,13,"all"
"23","affordable_housing",15,23,13,"all"
"24","special_needs",15,24,15,"all"
"25","new_york",15,25,14,"all"
"26","community_outreach",15,26,12,"all"
"27","child_care",15,27,13,"all"
"28","program_services",14,28,13,"all"
"29","provide_support",14,29,14,"all"
"30","educational_programs",14,30,14,"all"
"31","provide_education",14,31,13,"all"
"32","public_schools",14,32,12,"all"
"33","will_provide",14,33,14,"all"
"34","section_501",14,34,12,"all"
"35","provide_educational",14,35,14,"all"
"36","mount_vernon",14,36,2,"all"
"37","veterans_florida",14,37,2,"all"
"38","san_francisco",13,38,10,"all"
"39","health_care",13,39,11,"all"
"40","program_service",13,40,13,"all"
"41","organization_provided",13,41,13,"all"
"42","education_programs",13,42,12,"all"
"43","social_media",13,43,13,"all"
"44","san_diego",13,44,11,"all"
"45","law_enforcement",13,45,9,"all"
"46","non_profit",12,46,12,"all"
"47","foster_care",12,47,8,"all"
"48","medical_supplies",12,48,12,"all"
"49","fiscal_year",12,49,10,"all"
"50","film_festival",12,50,2,"all"
"51","revenue_code",12,51,10,"all"
"52","first_year",12,52,12,"all"
"53","internal_revenue",12,53,8,"all"
"54","medical_care",11,54,11,"all"
"55","support_services",11,55,11,"all"
"56","animal_rescue",11,56,9,"all"
"57","veterinary_care",11,57,9,"all"
"58","professional_development",11,58,11,"all"
"59","los_angeles",11,59,8,"all"
"60","training_program",11,60,11,"all"
"61","educational_services",11,61,11,"all"
"62","school_district",11,62,9,"all"
"63","organization_will",11,63,8,"all"
"64","youth_sports",11,64,8,"all"
"65","raise_money",10,65,10,"all"
"66","educational_materials",10,66,10,"all"
"67","income_families",10,67,10,"all"
"68","raised_funds",10,68,9,"all"
"69","service_providers",10,69,8,"all"
"70","organization's_mission",10,70,10,"all"
"71","substance_abuse",10,71,9,"all"
"72","carmel_international",10,72,1,"all"
"73","international_film",10,73,1,"all"
"74","young_men",10,74,7,"all"
"75","raising_funds",10,75,10,"all"
"76","south_carolina",10,76,3,"all"
"77","scholarship_fund",9,77,8,"all"
"78","nyc_medics",9,78,1,"all"
"79","provided_financial",9,79,8,"all"
"80","young_adults",9,80,9,"all"
"81","freedom_school",9,81,2,"all"
"82","years_old",9,82,8,"all"
"83","students_will",9,83,8,"all"
"84","school_supplies",9,84,9,"all"
"85","charitable_purposes",9,85,9,"all"
"86","leadership_training",9,86,9,"all"
"87","new_orleans",9,87,6,"all"
"88","take_place",9,88,9,"all"
"89","school_programs",9,89,9,"all"
"90","brown's_harbor",9,90,2,"all"
"91","educational_activities",9,91,9,"all"
"92","human_rights",9,92,3,"all"
"93","youth_soccer",8,93,8,"all"
"94","low_cost",8,94,8,"all"
"95","organization_provides",8,95,8,"all"
"96","sickle_cell",8,96,3,"all"
"97","charter_school",8,97,7,"all"
"98","food_pantry",8,98,7,"all"
"99","college_students",8,99,7,"all"
"100","program_provides",8,100,8,"all"
"101","cancer_patients",8,101,8,"all"
"102","family_members",8,102,8,"all"
"103","purposes_within",8,103,8,"all"
"104","roller_derby",8,104,5,"all"
"105","nonprofit_organizations",8,105,8,"all"
"106","travel_expenses",8,106,7,"all"
"107","forever_homes",8,107,8,"all"
"108","jesus_christ",8,108,8,"all"
"109","performing_arts",8,109,7,"all"
"110","public_awareness",8,110,8,"all"
"111","will_also",8,111,7,"all"
"112","still_kickin",8,112,2,"all"
"113","medical_expenses",8,113,8,"all"
"114","exempt_organizations",8,114,8,"all"
"115","akron_soul",8,115,2,"all"
"116","group_home",8,116,2,"all"
"117","economic_development",7,117,7,"all"
"118","accessory_dwelling",7,118,3,"all"
"119","also_provides",7,119,7,"all"
"120","youth_ages",7,120,7,"all"
"121","community_events",7,121,7,"all"
"122","spay_neuter",7,122,6,"all"
"123","adoptive_families",7,123,6,"all"
"124","outreach_program",7,124,7,"all"
"125","cancer_research",7,125,5,"all"
"126","schedule_o",7,126,7,"all"
"127","case_management",7,127,7,"all"
"128","school_program",7,128,7,"all"
"129","3_organization",7,129,7,"all"
"130","provide_food",7,130,7,"all"
"131","freedom_schools",7,131,2,"all"
"132","much_needed",7,132,6,"all"
"133","new_mexico",7,133,7,"all"
"134","justice_system",7,134,5,"all"
"135","provided_assistance",7,135,7,"all"
"136","community_including",7,136,7,"all"
"137","less_fortunate",7,137,7,"all"
"138","non-profit_organizations",7,138,7,"all"
"139","fundraising_events",7,139,7,"all"
"140","elementary_schools",7,140,5,"all"
"141","also_provided",7,141,7,"all"
"142","community_support",7,142,6,"all"
"143","hospice_care",7,143,3,"all"
"144","high_quality",7,144,6,"all"
"145","provided_support",7,145,7,"all"
"146","community_development",7,146,7,"all"
"147","brain_aneurysms",7,147,3,"all"
"148","will_help",7,148,7,"all"
"149","care_services",7,149,7,"all"
"150","care_packages",7,150,6,"all"
"151","provided_educational",7,151,7,"all"
"152","small_business",7,152,7,"all"
"153","public_school",7,153,7,"all"
"154","scientific_purposes",7,154,7,"all"
"155","short_term",7,155,5,"all"
"156","soul_train",7,156,2,"all"
"157","mission_trips",7,157,4,"all"
"158","pediatric_cancer",7,158,4,"all"
"159","community_health",6,159,6,"all"
"160","medical_assistance",6,160,6,"all"
"161","provide_charitable",6,161,6,"all"
"162","provide_services",6,162,6,"all"
"163","successfully_completed",6,163,6,"all"
"164","safe_environment",6,164,6,"all"
"165","provide_assistance",6,165,6,"all"
"166","domestic_violence",6,166,5,"all"
"167","cdf_freedom",6,167,2,"all"
"168","help_children",6,168,6,"all"
"169","first_time",6,169,6,"all"
"170","food_distribution",6,170,6,"all"
"171","sports_training",6,171,6,"all"
"172","emotional_support",6,172,6,"all"
"173","summer_program",6,173,6,"all"
"174","every_year",6,174,4,"all"
"175","college_scholarships",6,175,6,"all"
"176","hancock_county",6,176,3,"all"
"177","amateur_sports",6,177,6,"all"
"178","fund_raising",6,178,6,"all"
"179","second_unit",6,179,1,"all"
"180","foundation_will",6,180,6,"all"
"181","will_include",6,181,6,"all"
"182","fresh_produce",6,182,6,"all"
"183","allows_us",6,183,6,"all"
"184","non-profit_corporation",6,184,6,"all"
"185","head_start",6,185,6,"all"
"186","surrounding_areas",6,186,6,"all"
"187","raised_money",6,187,6,"all"
"188","st_james",6,188,2,"all"
"189","educational_workshops",6,189,5,"all"
"190","team_members",6,190,5,"all"
"191","future_generations",6,191,6,"all"
"192","educational_program",6,192,6,"all"
"193","real_estate",6,193,5,"all"
"194","surrounding_communities",6,194,6,"all"
"195","farm_animals",6,195,5,"all"
"196","capacity_building",6,196,4,"all"
"197","support_program",6,197,5,"all"
"198","providing_medical",6,198,6,"all"
"199","medical_help",6,199,6,"all"
"200","center_inc",6,200,3,"all"
"201","youth_baseball",6,201,6,"all"
"202","gun_violence",6,202,3,"all"
"203","female_athletes",6,203,4,"all"
"204","religious_educational",6,204,6,"all"
"205","vernon_development",6,205,2,"all"
"206","development_company",6,206,2,"all"
"207","downtown_mount",6,207,2,"all"
"208","ministry_personnel",6,208,4,"all"
"209","provide_funding",6,209,6,"all"
"210","foster_national",6,210,6,"all"
"211","sports_competition",6,211,6,"all"
"212","art_master",6,212,1,"all"
"213","master_plan",6,213,2,"all"
"214","puerto_rico",6,214,5,"all"
"215","foundation_provides",6,215,6,"all"
"216","chicago_public",6,216,2,"all"
"217","jordan_house",6,217,2,"all"
"218","enforcement_officers",6,218,4,"all"
"219","living_organ",6,219,3,"all"
"220","aidan's_avengers",6,220,3,"all"
"221","client_services",6,221,2,"all"
"222","overseas_pastors",6,222,3,"all"
"223","community_center",5,223,5,"all"
"224","mental_illness",5,224,4,"all"
"225","oceans_also",5,225,2,"all"
"226","also_held",5,226,5,"all"
"227","every_child",5,227,5,"all"
"228","development_programs",5,228,5,"all"
"229","educational_seminars",5,229,5,"all"
"230","moderate_income",5,230,4,"all"
"231","provide_training",5,231,5,"all"
